기간,자치구,사업체수,총종사자수,농업 임업 및 어업,광업,제조업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,건설업,도매 및 소매업,운수 및 창고업,숙박 및 음식점업,정보통신업,금융 및 보험업,부동산업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,교육 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업
2018,강남구,71373 ,694136 ,46 ,14 ,14296 ,1222 ,823 ,49157 ,136778 ,11236 ,58366 ,58879 ,34738 ,29039 ,107675 ,83062 ,6047 ,29182 ,41288 ,9179 ,23109 
2018,강동구,29772 ,145990 ,40 ,0 ,5191 ,89 ,522 ,19094 ,23937 ,10140 ,15308 ,1758 ,3669 ,4331 ,7012 ,12664 ,2934 ,10844 ,18619 ,2905 ,6933 
2018,강북구,18918 ,72418 ,0 ,0 ,5903 ,84 ,340 ,2133 ,10625 ,6625 ,10674 ,682 ,4074 ,1782 ,1185 ,3440 ,3265 ,5871 ,9195 ,2037 ,4503 
2018,강서구,38524 ,248204 ,26 ,1 ,7311 ,466 ,673 ,14875 ,37641 ,52138 ,21475 ,11108 ,3996 ,7464 ,23116 ,17365 ,3474 ,14257 ,19576 ,3851 ,9391 
2018,관악구,26105 ,113944 ,0 ,0 ,4975 ,0 ,183 ,7805 ,15166 ,6515 ,17541 ,3128 ,1857 ,4010 ,4578 ,6276 ,3336 ,16210 ,12906 ,3133 ,6325 
2018,광진구,24535 ,127879 ,3 ,0 ,7198 ,69 ,244 ,13397 ,19023 ,5828 ,17023 ,3720 ,4739 ,3725 ,4811 ,10213 ,2662 ,14139 ,11615 ,3862 ,5608 
2018,구로구,38553 ,218070 ,1 ,1 ,17612 ,104 ,389 ,12033 ,40438 ,9160 ,15178 ,30068 ,8238 ,4386 ,15674 ,25341 ,4059 ,10747 ,14882 ,2617 ,7142 
2018,금천구,32472 ,234012 ,8 ,0 ,40430 ,10 ,266 ,17882 ,40952 ,9064 ,11033 ,37711 ,2402 ,3147 ,27977 ,20454 ,2474 ,6307 ,7162 ,1541 ,5192 
2018,노원구,26616 ,118713 ,1 ,0 ,3720 ,311 ,214 ,2507 ,15757 ,12573 ,14443 ,1242 ,4253 ,4289 ,3259 ,4602 ,3141 ,21138 ,18684 ,3078 ,5501 
2018,도봉구,18894 ,74314 ,3 ,0 ,4137 ,1 ,110 ,3402 ,10983 ,10030 ,7906 ,757 ,1281 ,2768 ,1773 ,1841 ,3872 ,7537 ,11640 ,1907 ,4366 
2018,동대문구,31878 ,140748 ,0 ,1 ,13543 ,2 ,148 ,5849 ,31318 ,6562 ,14447 ,2119 ,4314 ,4598 ,7073 ,8666 ,3443 ,16243 ,14494 ,2462 ,5466 
2018,동작구,19916 ,112564 ,0 ,0 ,2059 ,148 ,423 ,7529 ,14773 ,3124 ,13130 ,4398 ,3642 ,5825 ,6067 ,10746 ,3553 ,15755 ,13365 ,2761 ,5266 
2018,마포구,37232 ,255152 ,1 ,0 ,5350 ,464 ,355 ,14703 ,35083 ,12398 ,31288 ,37909 ,10751 ,5932 ,20741 ,34430 ,4671 ,15637 ,10902 ,4794 ,9743 
2018,서대문구,19796 ,109490 ,3 ,0 ,2494 ,69 ,576 ,3868 ,14045 ,5835 ,14505 ,2746 ,4067 ,2634 ,6113 ,6690 ,5080 ,18651 ,15362 ,1844 ,4908 
2018,서초구,46540 ,438733 ,37 ,30 ,5431 ,150 ,281 ,62442 ,67696 ,9020 ,33522 ,30389 ,18539 ,14381 ,67657 ,56487 ,11283 ,21404 ,20757 ,6478 ,12749 
2018,성동구,27868 ,174819 ,3 ,0 ,27062 ,421 ,782 ,5790 ,31602 ,8653 ,12442 ,10725 ,4131 ,5520 ,14631 ,18907 ,4471 ,11371 ,8539 ,2157 ,7612 
2018,성북구,23287 ,108201 ,0 ,0 ,8140 ,10 ,178 ,3934 ,15159 ,6058 ,13397 ,1877 ,1512 ,2708 ,4328 ,5255 ,3301 ,21481 ,12835 ,2306 ,5722 
2018,송파구,47772 ,342853 ,273 ,5 ,9200 ,31 ,593 ,46470 ,60790 ,15955 ,30485 ,27034 ,8393 ,13611 ,27676 ,29731 ,7087 ,18609 ,26546 ,9397 ,10967 
2018,양천구,26126 ,123311 ,0 ,0 ,4926 ,266 ,473 ,10437 ,17547 ,12806 ,12092 ,5094 ,2549 ,3571 ,3232 ,5260 ,6609 ,14974 ,14213 ,3104 ,6158 
2018,영등포구,42589 ,367557 ,0 ,13 ,13577 ,781 ,438 ,23195 ,52863 ,11414 ,27163 ,30827 ,56551 ,8762 ,32357 ,57524 ,9922 ,8754 ,17253 ,4149 ,12014 
2018,용산구,20813 ,141216 ,0 ,0 ,3181 ,43 ,150 ,7591 ,31093 ,3918 ,19474 ,9750 ,5085 ,3807 ,15387 ,15708 ,3149 ,7452 ,6658 ,2831 ,5939 
2018,은평구,24873 ,90049 ,0 ,0 ,3041 ,159 ,255 ,4053 ,15264 ,8898 ,12317 ,1201 ,2324 ,3291 ,1710 ,1741 ,3879 ,10058 ,13963 ,2277 ,5618 
2018,종로구,39952 ,265017 ,17 ,10 ,13071 ,350 ,126 ,30305 ,43116 ,7260 ,27639 ,18599 ,19260 ,6392 ,21766 ,18157 ,15658 ,13504 ,15888 ,6227 ,7672 
2018,중구,60957 ,390530 ,0 ,3 ,29402 ,724 ,369 ,4896 ,98606 ,14316 ,33032 ,25013 ,50108 ,9169 ,36078 ,39020 ,19280 ,8321 ,10104 ,3723 ,8366 
2018,중랑구,28024 ,103016 ,0 ,3 ,15250 ,109 ,228 ,6006 ,16071 ,13092 ,11212 ,1027 ,1800 ,2921 ,1643 ,2853 ,3471 ,7773 ,11920 ,2484 ,5153 
